Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured MUR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
IGD-POL-183635,20-07-2017,27-May-25,5,20-Jul-17,CUST-757924,319893.72,45341.7,Monthly,Yes,119136.13,7932.28,AGT-6578,July,Q3,2017,20-Jul-18,CLM-863078,TR-WHCD968,FPP-IGMU-9813,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-430863,25-08-2017,25-Apr-25,25,25-Aug-17,CUST-919400,2643080.65,28854.12,Annually,No,0.0,3738.57,AGT-4509,August,Q3,2017,25-Aug-18,CLM-420167,TR-ENDD989,ILG-IGMU-9829,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-569617,13-08-2017,23-Jun-20,5,13-Aug-17,CUST-705628,1054749.59,65682.89,Annually,No,0.0,10552.09,AGT-4594,August,Q3,2017,13-Aug-18,CLM-710731,TR-UNCD988,UGM-IGMU-9834,Surrendered,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-168033,05-03-2017,28-May-18,15,05-Mar-17,CUST-846176,3235314.23,75743.28,Annually,Yes,957931.58,12156.58,AGT-3894,March,Q1,2017,05-Mar-18,CLM-403553,TR-ENDD989,WBM-IGMU-9833,Surrendered,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-881191,17-12-2017,26-Feb-25,20,17-Dec-17,CUST-854038,3089876.42,75926.33,Monthly,No,0.0,7582.78,AGT-3488,December,Q4,2017,17-Dec-18,CLM-939193,TR-WHCD968,WLS-IGMU-9814,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-212363,19-04-2017,28-Nov-25,10,19-Apr-17,CUST-609153,2474343.02,9423.62,Quarterly,Yes,1471818.87,1676.59,AGT-2109,April,Q2,2017,19-Apr-18,CLM-506085,TR-ENDD989,ILG-IGMU-9829,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-966254,03-03-2017,10-Jan-25,15,03-Mar-17,CUST-424125,3532162.28,58768.73,Monthly,No,0.0,9132.04,AGT-2345,March,Q1,2017,03-Mar-18,CLM-395497,TR-ENDD989,WBM-IGMU-9833,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-781298,23-01-2017,17-Jun-25,20,23-Jan-17,CUST-833253,1287827.54,16532.63,Annually,Yes,381524.67,2940.98,AGT-1498,January,Q1,2017,23-Jan-18,CLM-203102,TR-WHCD968,IPM-IGMU-9832,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-549636,09-05-2017,20-May-25,10,09-May-17,CUST-662079,2949785.69,51144.38,Annually,Yes,1306106.2,5137.25,AGT-3150,May,Q2,2017,09-May-18,CLM-732178,TR-ENDD989,SGT-IGMU-9812,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-308362,28-06-2017,26-Apr-25,5,28-Jun-17,CUST-535450,5090143.47,1500.0,Monthly,Yes,2610299.32,300.0,AGT-6578,June,Q2,2017,28-Jun-18,CLM-655703,TR-ENDD989,ILG-IGMU-9829,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-887069,01-03-2017,12-Mar-25,25,01-Mar-17,CUST-663531,3795528.81,69716.03,Annually,Yes,1150458.37,8243.59,AGT-2109,March,Q1,2017,01-Mar-18,CLM-831308,TR-UNCD988,UGM-IGMU-9834,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-165902,26-11-2017,14-Aug-25,20,26-Nov-17,CUST-732029,1338705.87,65129.08,Quarterly,No,0.0,3743.63,AGT-5980,November,Q4,2017,26-Nov-18,CLM-149607,TR-ENDD989,ILG-IGMU-9829,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-744985,23-01-2017,21-Mar-25,10,23-Jan-17,CUST-854038,4107528.27,65615.36,Monthly,No,0.0,7634.89,AGT-5467,January,Q1,2017,23-Jan-18,CLM-407101,TR-UNCD988,UGM-IGMU-9834,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-845115,19-08-2017,21-Aug-25,25,19-Aug-17,CUST-828706,1475673.06,12152.83,Annually,Yes,928310.73,653.74,AGT-1900,August,Q3,2017,19-Aug-18,CLM-400373,TR-ENDD989,SGT-IGMU-9812,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-929147,13-06-2017,21-Dec-25,5,13-Jun-17,CUST-559218,3318976.3,54568.33,Monthly,No,0.0,4453.92,AGT-7898,June,Q2,2017,13-Jun-18,CLM-104444,TR-ENDD989,WBM-IGMU-9833,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-941957,16-08-2017,07-Aug-25,15,16-Aug-17,CUST-154805,553331.5,53346.99,Monthly,No,0.0,4326.52,AGT-1909,August,Q3,2017,16-Aug-18,CLM-783156,TR-ENDD989,ILG-IGMU-9829,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-589832,24-12-2017,19-Jun-25,10,24-Dec-17,CUST-888560,2400208.24,9636.16,Quarterly,No,0.0,1334.91,AGT-3567,December,Q4,2017,24-Dec-18,CLM-240863,TR-ENDD989,SGT-IGMU-9812,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-622970,26-03-2017,19-Oct-25,15,26-Mar-17,CUST-956727,634790.81,9728.75,Annually,Yes,235193.03,1126.61,AGT-7898,March,Q1,2017,26-Mar-18,CLM-428456,TR-WHCD968,FPP-IGMU-9813,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-650816,26-12-2017,05-Dec-20,20,26-Dec-17,CUST-856293,4690148.37,72719.28,Annually,Yes,2833389.92,6892.2,AGT-4980,December,Q4,2017,26-Dec-18,CLM-320941,TR-UNCD988,RSP-IGMU-9856,Surrendered,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-228903,21-08-2017,27-Feb-22,15,21-Aug-17,CUST-353860,100000.0,44585.12,Quarterly,No,0.0,5389.22,AGT-3488,August,Q3,2017,21-Aug-18,CLM-692769,TR-UNCD988,UGM-IGMU-9834,Surrendered,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-443688,10-01-2017,03-Feb-25,5,10-Jan-17,CUST-990580,695866.36,37749.25,Monthly,Yes,402035.67,5731.14,AGT-1909,January,Q1,2017,10-Jan-18,CLM-826786,TR-UNCD988,RSP-IGMU-9856,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-477269,08-11-2017,22-Jul-25,15,08-Nov-17,CUST-427979,769088.08,24706.91,Quarterly,No,0.0,1462.64,AGT-3150,November,Q4,2017,08-Nov-18,CLM-152311,TR-ENDD989,ILG-IGMU-9829,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-368818,24-05-2017,10-Apr-25,20,24-May-17,CUST-876841,1603808.18,15896.7,Annually,Yes,430883.55,1868.52,AGT-4509,May,Q2,2017,24-May-18,CLM-989150,TR-WHCD968,FPP-IGMU-9813,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-342239,07-03-2017,02-Mar-25,25,07-Mar-17,CUST-880694,4448247.67,29972.36,Quarterly,No,0.0,1948.62,AGT-3567,March,Q1,2017,07-Mar-18,CLM-539583,TR-UNCD988,UGM-IGMU-9834,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-897845,26-01-2017,20-Sep-25,15,26-Jan-17,CUST-400973,1873812.98,5927.39,Monthly,No,0.0,973.63,AGT-5945,January,Q1,2017,26-Jan-18,CLM-675957,TR-ENDD989,WBM-IGMU-9833,Active,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-647859,22-05-2017,25-Oct-25,20,22-May-17,CUST-675551,1117541.81,13273.19,Annually,Yes,617864.5,1369.84,AGT-1498,May,Q2,2017,22-May-18,CLM-939903,TR-WHCD968,FPP-IGMU-9813,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-799272,04-02-2017,08-Nov-25,25,04-Feb-17,CUST-682144,3815423.33,33503.44,Quarterly,No,0.0,3951.01,AGT-1800,February,Q1,2017,04-Feb-18,CLM-608838,TR-WHCD968,FPP-IGMU-9813,Active,Beau Bassin-Rose Hill,RMC9F7L5,ZMN8K2L1
IGD-POL-813387,06-10-2017,19-Feb-25,10,06-Oct-17,CUST-283847,2207827.64,63547.34,Monthly,No,0.0,10056.01,AGT-3894,October,Q4,2017,06-Oct-18,CLM-140871,TR-ENDD989,ILG-IGMU-9829,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-311576,25-02-2017,17-Oct-25,25,25-Feb-17,CUST-224745,1220553.33,66842.78,Annually,No,0.0,11654.54,AGT-4456,February,Q1,2017,25-Feb-18,CLM-856562,TR-WHCD968,IPM-IGMU-9832,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-617230,05-02-2017,24-Aug-25,25,05-Feb-17,CUST-410072,2955280.32,20502.95,Monthly,No,0.0,1162.76,AGT-1465,February,Q1,2017,05-Feb-18,CLM-452090,TR-ENDD989,WBM-IGMU-9833,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-366176,24-06-2017,09-Nov-25,5,24-Jun-17,CUST-644544,1244704.27,13401.29,Annually,No,0.0,1681.93,AGT-1900,June,Q2,2017,24-Jun-18,CLM-868394,TR-UNCD988,RSP-IGMU-9856,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-472848,12-08-2017,20-May-25,25,12-Aug-17,CUST-670818,3444022.74,14054.81,Monthly,No,0.0,2189.48,AGT-5980,August,Q3,2017,12-Aug-18,CLM-279672,TR-ENDD989,SGT-IGMU-9812,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-554075,01-01-2017,18-Feb-20,20,01-Jan-17,CUST-224285,4480176.17,48021.35,Annually,Yes,2601621.23,6651.45,AGT-1900,January,Q1,2017,01-Jan-18,CLM-786307,TR-ENDD989,SGT-IGMU-9812,Surrendered,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-213366,14-09-2017,26-Nov-22,15,14-Sep-17,CUST-632147,1452509.74,8756.18,Monthly,Yes,484801.07,882.25,AGT-4509,September,Q3,2017,14-Sep-18,CLM-129569,TR-UNCD988,UGM-IGMU-9834,Surrendered,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-741191,16-09-2017,23-Dec-25,20,16-Sep-17,CUST-435127,2339396.03,52950.81,Quarterly,No,0.0,9208.19,AGT-3894,September,Q3,2017,16-Sep-18,CLM-619795,TR-ENDD989,ILG-IGMU-9829,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-750186,09-06-2017,05-Jul-25,10,09-Jun-17,CUST-941644,3592254.48,15373.38,Annually,No,0.0,2609.97,AGT-4594,June,Q2,2017,09-Jun-18,CLM-878670,TR-WHCD968,FPP-IGMU-9813,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-353585,20-11-2017,04-May-25,20,20-Nov-17,CUST-597923,2075258.49,16444.28,Monthly,Yes,1005280.87,1371.93,AGT-4509,November,Q4,2017,20-Nov-18,CLM-792540,TR-WHCD968,WLS-IGMU-9814,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-956812,20-06-2017,12-Jan-25,20,20-Jun-17,CUST-408054,627760.56,53126.63,Monthly,Yes,273763.01,4474.83,AGT-1800,June,Q2,2017,20-Jun-18,CLM-297488,TR-ENDD989,WBM-IGMU-9833,Active,Beau Bassin-Rose Hill,RMC9F7L5,ZMN8K2L1
IGD-POL-801967,18-01-2017,05-Sep-25,5,18-Jan-17,CUST-223967,906039.37,15824.39,Monthly,Yes,551449.14,2480.97,AGT-5467,January,Q1,2017,18-Jan-18,CLM-898940,TR-ENDD989,ILG-IGMU-9829,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-430244,06-05-2017,03-Sep-25,15,06-May-17,CUST-128544,2976622.01,22634.26,Quarterly,Yes,1652126.2,2058.15,AGT-3150,May,Q2,2017,06-May-18,CLM-467791,TR-WHCD968,FPP-IGMU-9813,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-283459,15-07-2017,02-Jul-25,10,15-Jul-17,CUST-233465,1515351.22,55698.89,Quarterly,Yes,567771.51,8847.73,AGT-3150,July,Q3,2017,15-Jul-18,CLM-558689,TR-ENDD989,ILG-IGMU-9829,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-406545,06-04-2017,08-Jun-25,10,06-Apr-17,CUST-249380,1861230.75,70535.35,Quarterly,Yes,993186.21,9064.72,AGT-4509,April,Q2,2017,06-Apr-18,CLM-854603,TR-UNCD988,RSP-IGMU-9856,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-232439,11-12-2017,26-Aug-20,5,11-Dec-17,CUST-915807,4780921.25,30816.05,Quarterly,Yes,1651140.85,3413.03,AGT-5980,December,Q4,2017,11-Dec-18,CLM-673485,TR-WHCD968,FPP-IGMU-9813,Surrendered,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-351120,03-07-2017,21-Jun-25,10,03-Jul-17,CUST-583191,1631860.0,16339.84,Monthly,No,0.0,2418.2,AGT-1800,July,Q3,2017,03-Jul-18,CLM-434276,TR-WHCD968,FPP-IGMU-9813,Active,Beau Bassin-Rose Hill,RMC9F7L5,ZMN8K2L1
IGD-POL-758722,26-12-2017,04-Jan-18,5,26-Dec-17,CUST-155652,1809654.23,33635.77,Quarterly,No,0.0,3747.27,AGT-5945,December,Q4,2017,26-Dec-18,CLM-450951,TR-WHCD968,WLS-IGMU-9814,Claimed,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-633197,13-11-2017,22-Oct-25,10,13-Nov-17,CUST-234120,2940692.17,82466.84,Quarterly,No,0.0,14518.2,AGT-3488,November,Q4,2017,13-Nov-18,CLM-900247,TR-ENDD989,SGT-IGMU-9812,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-868079,25-06-2017,26-Mar-19,25,25-Jun-17,CUST-539299,1307713.47,1500.0,Monthly,Yes,410954.99,300.0,AGT-4594,June,Q2,2017,25-Jun-18,CLM-513279,TR-ENDD989,SGT-IGMU-9812,Surrendered,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-750454,10-12-2017,03-Mar-25,25,10-Dec-17,CUST-739975,1249654.4,69114.4,Monthly,No,0.0,4331.28,AGT-7898,December,Q4,2017,10-Dec-18,CLM-710625,TR-UNCD988,RSP-IGMU-9856,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-272481,24-09-2017,01-Mar-25,5,24-Sep-17,CUST-163853,1711220.4,53263.0,Monthly,No,0.0,6774.57,AGT-1800,September,Q3,2017,24-Sep-18,CLM-259988,TR-WHCD968,FPP-IGMU-9813,Active,Beau Bassin-Rose Hill,RMC9F7L5,ZMN8K2L1
IGD-POL-165215,17-07-2017,01-Jan-25,10,17-Jul-17,CUST-940298,2441646.5,72740.48,Annually,Yes,1239555.85,9167.61,AGT-3894,July,Q3,2017,17-Jul-18,CLM-853206,TR-WHCD968,WLS-IGMU-9814,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-545307,12-11-2017,15-May-21,5,12-Nov-17,CUST-150382,4409010.95,37233.09,Quarterly,Yes,2177343.28,5408.02,AGT-5945,November,Q4,2017,12-Nov-18,CLM-191172,TR-ENDD989,ILG-IGMU-9829,Surrendered,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-514815,08-08-2017,14-Apr-25,15,08-Aug-17,CUST-410082,587155.75,79552.91,Annually,Yes,162477.79,9390.45,AGT-3567,August,Q3,2017,08-Aug-18,CLM-899348,TR-UNCD988,RSP-IGMU-9856,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-384789,17-01-2017,10-Sep-18,5,17-Jan-17,CUST-976303,2015644.35,25571.38,Quarterly,Yes,1149053.02,1723.87,AGT-3894,January,Q1,2017,17-Jan-18,CLM-555793,TR-WHCD968,IPM-IGMU-9832,Surrendered,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-287969,14-06-2017,22-Apr-25,25,14-Jun-17,CUST-117393,1359003.23,51373.71,Monthly,Yes,717744.4,8451.95,AGT-5980,June,Q2,2017,14-Jun-18,CLM-525815,TR-WHCD968,WLS-IGMU-9814,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-542004,01-11-2017,10-Sep-25,5,01-Nov-17,CUST-233146,2082750.88,64929.52,Annually,No,0.0,11594.21,AGT-3894,November,Q4,2017,01-Nov-18,CLM-787439,TR-UNCD988,RSP-IGMU-9856,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-689333,05-02-2017,04-Apr-25,25,05-Feb-17,CUST-247455,1321532.29,54715.66,Quarterly,Yes,431840.84,3364.77,AGT-6578,February,Q1,2017,05-Feb-18,CLM-381163,TR-UNCD988,UGM-IGMU-9834,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-768968,01-10-2017,06-Aug-21,5,01-Oct-17,CUST-882275,2507316.85,54634.98,Monthly,Yes,933599.88,9498.1,AGT-2109,October,Q4,2017,01-Oct-18,CLM-971826,TR-WHCD968,WLS-IGMU-9814,Surrendered,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-902660,06-04-2017,05-May-21,20,06-Apr-17,CUST-263306,597650.62,34210.78,Annually,No,0.0,4786.19,AGT-6578,April,Q2,2017,06-Apr-18,CLM-195374,TR-ENDD989,ILG-IGMU-9829,Surrendered,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-732179,09-11-2017,01-Mar-25,15,09-Nov-17,CUST-538321,1791117.17,64612.66,Quarterly,No,0.0,10039.14,AGT-4456,November,Q4,2017,09-Nov-18,CLM-746626,TR-UNCD988,UGM-IGMU-9834,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-983824,06-05-2017,12-Jan-25,20,06-May-17,CUST-527047,2603446.35,36543.72,Quarterly,No,0.0,2949.7,AGT-3894,May,Q2,2017,06-May-18,CLM-485011,TR-ENDD989,SGT-IGMU-9812,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-945800,04-09-2017,06-Aug-25,15,04-Sep-17,CUST-309126,2075579.2,76746.36,Quarterly,No,0.0,10751.15,AGT-3465,September,Q3,2017,04-Sep-18,CLM-339562,TR-WHCD968,IPM-IGMU-9832,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-137218,23-02-2017,26-Oct-25,10,23-Feb-17,CUST-714922,2610917.35,21514.08,Annually,Yes,1522994.52,2855.89,AGT-5945,February,Q1,2017,23-Feb-18,CLM-457689,TR-UNCD988,RSP-IGMU-9856,Active,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-735770,02-02-2017,13-Jun-25,25,02-Feb-17,CUST-601556,1813330.82,47568.82,Quarterly,Yes,856434.79,5564.92,AGT-7898,February,Q1,2017,02-Feb-18,CLM-329163,TR-WHCD968,FPP-IGMU-9813,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-670036,03-06-2017,19-Feb-25,15,03-Jun-17,CUST-227968,2037979.49,72830.46,Annually,No,0.0,9916.02,AGT-5945,June,Q2,2017,03-Jun-18,CLM-851314,TR-ENDD989,SGT-IGMU-9812,Active,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-258164,09-02-2017,08-Jun-25,5,09-Feb-17,CUST-745394,1946349.82,70787.24,Monthly,Yes,624842.32,4351.13,AGT-3488,February,Q1,2017,09-Feb-18,CLM-899911,TR-WHCD968,FPP-IGMU-9813,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-971420,06-09-2017,15-Jun-25,5,06-Sep-17,CUST-935675,1876549.86,65682.2,Annually,No,0.0,10731.91,AGT-3150,September,Q3,2017,06-Sep-18,CLM-117920,TR-UNCD988,RSP-IGMU-9856,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-147657,10-12-2017,09-Dec-18,5,10-Dec-17,CUST-119011,2060711.25,32663.23,Monthly,No,0.0,2264.04,AGT-1465,December,Q4,2017,10-Dec-18,CLM-599188,TR-UNCD988,UGM-IGMU-9834,Surrendered,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-447732,25-10-2017,12-Jul-25,5,25-Oct-17,CUST-559408,976895.82,38275.16,Annually,Yes,259037.48,4762.26,AGT-3465,October,Q4,2017,25-Oct-18,CLM-752421,TR-UNCD988,UGM-IGMU-9834,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-130019,01-11-2017,11-Nov-25,15,01-Nov-17,CUST-302999,4179776.35,32462.25,Monthly,No,0.0,5438.15,AGT-3488,November,Q4,2017,01-Nov-18,CLM-337718,TR-ENDD989,ILG-IGMU-9829,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-246827,14-03-2017,05-Sep-25,25,14-Mar-17,CUST-156504,3678357.82,58838.03,Monthly,No,0.0,8957.93,AGT-2345,March,Q1,2017,14-Mar-18,CLM-495819,TR-WHCD968,FPP-IGMU-9813,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-558944,09-03-2017,09-Sep-25,20,09-Mar-17,CUST-803268,867238.91,64698.59,Quarterly,Yes,516081.06,4675.72,AGT-4594,March,Q1,2017,09-Mar-18,CLM-536597,TR-WHCD968,IPM-IGMU-9832,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-379622,02-02-2017,08-Jun-18,5,02-Feb-17,CUST-487850,3176691.74,17255.79,Quarterly,No,0.0,2800.82,AGT-4594,February,Q1,2017,02-Feb-18,CLM-352218,TR-ENDD989,ILG-IGMU-9829,Surrendered,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-922027,03-04-2017,01-Oct-25,15,03-Apr-17,CUST-691140,4761568.84,76118.23,Monthly,Yes,1584404.46,4642.61,AGT-2941,April,Q2,2017,03-Apr-18,CLM-570610,TR-WHCD968,IPM-IGMU-9832,Active,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-815930,22-09-2017,24-Jul-25,10,22-Sep-17,CUST-924286,986935.21,10709.58,Monthly,Yes,583691.01,2251.0,AGT-3465,September,Q3,2017,22-Sep-18,CLM-354590,TR-WHCD968,IPM-IGMU-9832,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-730855,25-05-2017,18-May-20,10,25-May-17,CUST-814407,2801536.04,15287.29,Monthly,Yes,901438.13,1055.4,AGT-4456,May,Q2,2017,25-May-18,CLM-380933,TR-ENDD989,ILG-IGMU-9829,Surrendered,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-120292,22-01-2017,17-Oct-25,20,22-Jan-17,CUST-475490,100000.0,71234.37,Annually,Yes,41564.82,9728.52,AGT-2109,January,Q1,2017,22-Jan-18,CLM-185411,TR-UNCD988,RSP-IGMU-9856,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-504495,20-04-2017,04-Apr-25,20,20-Apr-17,CUST-881410,1113410.44,7715.79,Annually,Yes,648569.68,747.29,AGT-1498,April,Q2,2017,20-Apr-18,CLM-442692,TR-WHCD968,FPP-IGMU-9813,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-825701,05-11-2017,27-Apr-25,15,05-Nov-17,CUST-979296,3909245.86,64795.03,Monthly,Yes,1436610.76,7781.59,AGT-3488,November,Q4,2017,05-Nov-18,CLM-221939,TR-WHCD968,WLS-IGMU-9814,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-252650,04-01-2017,15-Oct-25,15,04-Jan-17,CUST-495475,2313765.49,19297.17,Quarterly,Yes,1419789.38,1215.46,AGT-3488,January,Q1,2017,04-Jan-18,CLM-659409,TR-ENDD989,WBM-IGMU-9833,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-860189,15-02-2017,28-Aug-25,5,15-Feb-17,CUST-146372,2327930.95,64730.18,Annually,Yes,656805.84,9560.06,AGT-2345,February,Q1,2017,15-Feb-18,CLM-730390,TR-UNCD988,UGM-IGMU-9834,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-324534,28-12-2017,04-Jan-25,20,28-Dec-17,CUST-658094,371123.13,59547.58,Quarterly,No,0.0,6414.46,AGT-4980,December,Q4,2017,28-Dec-18,CLM-430904,TR-ENDD989,WBM-IGMU-9833,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-846117,09-12-2017,18-Apr-25,20,09-Dec-17,CUST-141219,4191899.79,43637.43,Annually,Yes,1325339.67,6301.23,AGT-6578,December,Q4,2017,09-Dec-18,CLM-435590,TR-ENDD989,WBM-IGMU-9833,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-887576,15-01-2017,14-Jan-25,5,15-Jan-17,CUST-239207,1442079.61,45320.77,Quarterly,No,0.0,2536.02,AGT-2109,January,Q1,2017,15-Jan-18,CLM-477696,TR-UNCD988,RSP-IGMU-9856,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-846964,01-09-2017,19-Nov-25,15,01-Sep-17,CUST-860340,1417397.57,18099.23,Annually,No,0.0,2594.04,AGT-3150,September,Q3,2017,01-Sep-18,CLM-500263,TR-WHCD968,IPM-IGMU-9832,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-859753,14-03-2017,10-Feb-25,25,14-Mar-17,CUST-582273,3384620.45,54961.2,Annually,No,0.0,8974.82,AGT-4594,March,Q1,2017,14-Mar-18,CLM-504023,TR-WHCD968,IPM-IGMU-9832,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-548684,01-07-2017,08-Feb-25,15,01-Jul-17,CUST-953618,4254013.96,15377.61,Annually,No,0.0,1406.68,AGT-1498,July,Q3,2017,01-Jul-18,CLM-599787,TR-UNCD988,UGM-IGMU-9834,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-732340,12-09-2017,03-Jul-25,5,12-Sep-17,CUST-748351,3979915.65,11202.9,Annually,Yes,1487026.98,1745.54,AGT-5945,September,Q3,2017,12-Sep-18,CLM-611656,TR-WHCD968,FPP-IGMU-9813,Active,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-358343,27-04-2017,28-Mar-20,5,27-Apr-17,CUST-747063,2117479.86,11878.61,Monthly,No,0.0,1385.58,AGT-1800,April,Q2,2017,27-Apr-18,CLM-170720,TR-WHCD968,WLS-IGMU-9814,Surrendered,Beau Bassin-Rose Hill,RMC9F7L5,ZMN8K2L1
IGD-POL-208595,22-11-2017,03-Jul-25,25,22-Nov-17,CUST-499138,3212381.26,55036.89,Annually,Yes,1467343.46,5009.01,AGT-3150,November,Q4,2017,22-Nov-18,CLM-626173,TR-ENDD989,ILG-IGMU-9829,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-131795,27-12-2017,20-Dec-25,5,27-Dec-17,CUST-161645,806859.38,5063.08,Annually,Yes,335609.09,686.89,AGT-1498,December,Q4,2017,27-Dec-18,CLM-873978,TR-UNCD988,UGM-IGMU-9834,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
